===============================================================================
EXTENSION NAME : linecounter
EXTENSION VERSION : 0.2.2
-------------------------------------------------------------------------------
count time : 2019-07-05 12:30:43
count workspace : c:\Users\Ciro\Documents\Projects\Pawn\lsarp-project
total files : 134
total code lines : 30324
total comment lines : 8497
total blank lines : 2880

    statistics
   |      extension|     total code|  total comment|    total blank|percent|
   -------------------------------------------------------------------------
   |           .inc|          26993|           8387|           2777|     89|
   |           .txt|            133|              0|              1|   0.44|
   |           .pwn|            533|            110|            102|    1.8|
   |          .json|           2665|              0|              0|    8.8|
   -------------------------------------------------------------------------
scripts\account_system\accessors.inc, code is 155, comment is 0, blank is 38.
scripts\account_system\core.inc, code is 256, comment is 3, blank is 43.
scripts\account_system\dialogs.inc, code is 276, comment is 14, blank is 42.
scripts\account_system\enum.inc, code is 64, comment is 6, blank is 8.
scripts\admin\commands.inc, code is 961, comment is 12, blank is 135.
scripts\admin\core.inc, code is 75, comment is 2, blank is 14.
scripts\admin\enum.inc, code is 0, comment is 0, blank is 0.
scripts\admin\request.inc, code is 1, comment is 0, blank is 1.
scripts\admin\supporter_commands.inc, code is 16, comment is 0, blank is 1.
scripts\animation_system\commands.inc, code is 799, comment is 6, blank is 232.
scripts\animation_system\core.inc, code is 71, comment is 5, blank is 8.
scripts\anticheat\cheats\health_armour.inc, code is 43, comment is 5, blank is 8.
scripts\anticheat\cheats\money.inc, code is 48, comment is 0, blank is 4.
scripts\anticheat\cheats\no_reload.inc, code is 39, comment is 0, blank is 7.
scripts\anticheat\cheats\triggerbot.inc, code is 33, comment is 0, blank is 5.
scripts\anticheat\cheats\weapons.inc, code is 96, comment is 6, blank is 8.
scripts\anticheat\core.inc, code is 101, comment is 5, blank is 14.
scripts\anticheat\enum.inc, code is 48, comment is 8, blank is 7.
scripts\building\commands\admin.inc, code is 204, comment is 33, blank is 36.
scripts\building\core.inc, code is 275, comment is 4, blank is 51.
scripts\building\enum.inc, code is 41, comment is 3, blank is 4.
scripts\callbacks.inc, code is 7, comment is 1, blank is 5.
scripts\chopshop_system\commands.inc, code is 44, comment is 2, blank is 13.
scripts\chopshop_system\core.inc, code is 63, comment is 3, blank is 15.
scripts\commands.inc, code is 0, comment is 1, blank is 2.
scripts\database\core.inc, code is 57, comment is 0, blank is 24.
scripts\dealership\commands.inc, code is 215, comment is 5, blank is 17.
scripts\dealership\core.inc, code is 261, comment is 4, blank is 35.
scripts\dealership\enum.inc, code is 40, comment is 3, blank is 3.
scripts\dealership\player.inc, code is 217, comment is 1, blank is 21.
scripts\defines.inc, code is 31, comment is 0, blank is 6.
scripts\dp_system\core.inc, code is 149, comment is 0, blank is 13.
scripts\dp_system\enum.inc, code is 11, comment is 0, blank is 2.
scripts\drop_system\accessors.inc, code is 97, comment is 0, blank is 15.
scripts\drop_system\core.inc, code is 116, comment is 2, blank is 14.
scripts\drop_system\enum.inc, code is 25, comment is 2, blank is 2.
scripts\easyDialogs.inc, code is 54, comment is 2, blank is 23.
scripts\enums.inc, code is 0, comment is 1, blank is 1.
scripts\event_system\event_enum.inc, code is 0, comment is 8, blank is 0.
scripts\faction_system\accessors.inc, code is 93, comment is 0, blank is 19.
scripts\faction_system\commands.inc, code is 103, comment is 0, blank is 14.
scripts\faction_system\commands\common.inc, code is 71, comment is 11, blank is 9.
scripts\faction_system\commands\police.inc, code is 147, comment is 4, blank is 26.
